模块,内容,参考/备注
需求人,杨晓东,
核心卖点,"黑帮题材承诺（浴血黑帮已验证公式）+ 门徒收服（商业化钩子）",
吸睛逻辑/亮点,"钩子=独子被绑（情感+冲突开场）；爽点=门徒集结的排面 + 街头火并 + 收服反转（'跪下，或者加入'）；公式=浴血黑帮已验证'复古仪式→街头火并→赛博都市'；商业化=门徒收服衔接抽卡（PULL FOR MORE）",
视频规格,"分辨率 720×1280｜视频时长 ~45s（可剪30s/15s版）",
口播要求,英文配音+英文字幕,
音效/特效,"枪声/爆炸/集结号/收服音效；复古爵士+紧张鼓点",参考浴血黑帮原素材BGM氛围
概述,"一句话梗概：老大的独子被敌对帮派当街羞辱绑走，他吹响集结令，带着门徒血洗对方整条街，最后把对方老大收进自家门徒——在 GTS，没有和解，只有收服。
剧情线：
- 汤米·卡索（Tony Casso）东区街头传说，西装革履复古金表，独白开场：街区是他的王国
- 秃鹫帮当众羞辱并绑走他的儿子——全场目睹他尊严被踩
- 汤米熄灭雪茄拨通电话，集结门徒（门徒登场=商业化钩子）
- 街头火并：西装大军碾压秃鹫帮地盘，爆炸枪火，地盘易主
- 结局反转：秃鹫老大跪地，汤米不杀——'跪下，或者加入。' 收服为门徒（抽卡暗示）
- 黑屏CTA",
角色形象定位,"汤米·卡索 Tony Casso：45+意裔黑帮大佬，复古三件套西装+金表+雪茄，银灰鬓角，不怒自威（主动避开真人明星脸，AI原创）。秃鹫帮老大：40+光头彪悍，皮夹克+锁链，蛮横。门徒群像：西装打手（精瘦凶悍）/机车党（皮衣墨镜）/神枪手（风衣狙击枪）三类，站姿端正体现纪律感。",
分镜一：开场仪式+冲突建立 ｜ S0-S2（~9s）,
,"【制作】AI(汤米+酒吧场景) + AE(霓虹招牌/烟雾/片头字幕)，复古仪式感
【画面】
① 首帧暗光酒吧全景：深木色+琥珀灯光+霓虹招牌（原创设计，不照搬），字幕条: TONY CASSO — King of the East Side
　 大字钩子: They took his son. They'll pay in blood.
② 汤米(45+意裔黑帮大佬，复古西装+金表+雪茄，不怒自威)背身站立望向窗外
③ 窗外秃鹫帮成员叫嚣，信号弹划破夜空，字幕条: THE VULTURES — They made a mistake
【AI生图提示词】昏暗的复古黑帮酒吧内部，深色木质吧台和琥珀色暖光，雪茄烟雾缭绕，窗外是夜晚霓虹街景，一位穿复古三件套西装、银灰鬓角的黑帮大佬背身站在窗前，1940年代黑帮电影氛围，低调深沉的光影，电影剧照质感，不要任何文字。",参考浴血黑帮原素材氛围
分镜二：集结门徒 ｜ S3-S5（~10s）,
,"【制作】AI(汤米+门徒群像) + AE(电话音效/集结BGM)，门徒登场复用招募表演公式
【画面】
① 汤米掐灭雪茄，掏出老式电话，字幕条: ONE CALL. THAT'S ALL IT TAKES.
② 门徒快切登场（3-4名风格各异：西装打手/机车党/神枪手），每人一句亮相
③ 门徒大军在酒吧外集结成队，镜头缓慢拉远，压迫感
【AI生图提示词】夜晚城市街道，一群纪律严明的黑帮门徒在酒吧门口集结列队，前排是穿笔挺黑西装的打手，旁边是骑着机车的皮衣墨镜党，还有披着风衣的狙击手，霓虹灯和车灯照亮街道，压迫感十足的低角度群像构图，电影感打光，不要任何文字。",参考7月招募表演素材
分镜三：街头火并 ｜ S6-S9（~12s）,
,"【制作】AI(火并场景) + UE(战斗实机可替换) + AE(爆炸/枪火光效+字幕)
【画面】
① 秃鹫帮地盘被西装大军碾压，枪火交射，爆炸火光
② 汤米缓步走入战场中心（不奔跑，大佬气场），子弹擦身不躲
③ 地盘标志物（霓虹招牌）被夺下，字幕条: THE EAST SIDE IS OURS.
【AI生图提示词】夜晚城市街头的帮派枪战火并场面，穿黑西装的帮派大军端着枪推进，枪口火光和爆炸火花四溅，一名气场强大的黑帮大佬不慌不忙地走在战场中央，身后是燃烧的霓虹招牌，电影感动作大场面，高速摄影瞬间，高对比打光，不要任何文字。",参考7月爽感战斗/浴血黑帮火并
分镜四：收服结局 ｜ S10-S12（~10s）,
,"【制作】AI + AE(收服光效/门徒招募UI动画)，结局反转
【画面】
① 秃鹫老大被按跪在地，全场安静
② 汤米俯视，停顿半秒，台词: Kneel. Or join. （字幕条: KNEEL. OR JOIN.）
③ 收服动画：对方老大被'招募'进自家门徒（招募完成UI），黑屏字幕: The family is bigger now. / PULL FOR MORE.
【AI生图提示词】硝烟散去后的街头，一位败下阵来的光头黑帮老大被按住跪在地上，穿着西装的黑帮大佬居高临下俯视着他，俯视视角戏剧化打光，画面有权力感和仪式感，漫画电影风格，不要任何文字。",参考门徒招募UI录屏
分镜五：结尾卡 + CTA ｜ S13-S14（~4s）,
,"【制作】AE(字幕动效+结尾卡)
【画面】
① 黑屏打字机字幕逐行: Run the city. / Recruit the family.
② 游戏Logo+商店/门徒抽卡引导角标
【AI生图提示词】无",参考7月结尾卡
